order_number,date,casting_weight_gr,material,modul,inoculant_weight_gr
170632749,11/24/2022,79509,G,1.96,1282
170632751,11/25/2022,32008,G,1.66,607
170632753,11/26/2022,285083,S,1.13,9959
170632755,11/26/2022,94003,S,1.3,2802
170632765,11/26/2022,41055,S,1.09,1566
170632769,11/26/2022,50082,S,1.3,1492
170632457,11/26/2022,13464,S,0.96,589
170632165,11/21/2022,67218,G,2.02,1021
170632169,11/19/2022,96424,G,2.34,1352
170632171,11/21/2022,11189,G,1.77,208
170632175,11/19/2022,17860,G,2.04,276
170632179,11/18/2022,21991,G,1.97,358
170632183,11/19/2022,63784,G,2.19,945
170632187,11/21/2022,55529,G,1.89,941
170632189,11/19/2022,68816,G,1.73,1478
170632193,11/21/2022,31987,S,0.97,1378
170632195,11/18/2022,45261,S,1.12,1662
170632199,11/22/2022,41371,G,1.89,703
170632201,11/19/2022,41290,G,1.73,887
170632209,11/26/2022,71114,F,1.46,873
170632213,11/21/2022,113832,G,1.81,2097
170632219,11/21/2022,44635,G,1.79,831
170632223,11/22/2022,47838,G,2.24,709
170632225,11/21/2022,78010,G,2.12,1234
170632231,11/21/2022,19706,S,1.14,663
170632233,11/24/2022,22032,S,0.96,977
170632235,11/24/2022,17626,S,0.96,781
170632237,11/24/2022,32531,S,1.36,931
170632239,11/24/2022,43574,S,1.29,1344
170632241,11/24/2022,22032,S,0.96,977
170632243,11/24/2022,24072,S,1.02,997
170632161,11/21/2022,42585,S,1.49,1009
170632057,11/19/2022,102530,G,1.95,1702
170632061,11/21/2022,54944,S,1.24,1196
170632063,11/18/2022,60649,S,1.44,1498
170632067,11/18/2022,78200,S,1.3,2297
170632085,11/19/2022,418880,I,1.65,5757
170632089,11/17/2022,563693,G,2.23,8172
170632095,11/18/2022,46349,G,2.46,691
170632099,11/18/2022,72216,G,1.97,1137
170632101,11/18/2022,59514,G,2.16,901
170632107,11/18/2022,15830,S,0.94,763
170632109,11/18/2022,15137,S,1.11,605
170632113,11/21/2022,90117,F,1.15,881
170632121,11/21/2022,101837,G,1.83,1788
170632123,11/18/2022,146982,G,1.93,2437
170632125,11/19/2022,16300,G,1.52,405
170632127,11/19/2022,35720,G,2.04,553
170632131,11/25/2022,17218,F,2.76,308
170632133,11/21/2022,18850,G,1.42,503
170632137,11/25/2022,58507,F,1.24,615
170632139,11/19/2022,75429,G,1.96,1240
170632147,11/19/2022,64811,G,1.75,1378
170632153,11/19/2022,57555,G,1.76,1210
170632157,11/21/2022,27907,S,1.08,981
170632327,11/21/2022,156223,G,1.79,2904
170632331,11/26/2022,103020,F,1.45,1256
